 PF10417	PF10417
 PF13087	PF09416
 PF13175	PF13175
 PF13175	PF20469
 PF13191	PF13191
 PF13191	PF17872
 PF13191	PF04084
 PF13191	PF07034
 PF13191	PF14629
 PF13191	PF14630
 PF13207	PF13207
 PF13238	PF13238
 PF13238	PF00411
 PF13245	PF04997
 PF13245	PF00623
 PF13245	PF04998
 PF13245	PF04563
 PF13245	PF04565
 PF13245	PF00562
 PF13245	PF04560
 PF13245	PF00580
 PF13245	PF13361
 PF13245	PF13538
 PF07724	PF07724
 PF07724	PF07728
 PF07724	PF17871
 PF07724	PF10431
 PF07724	PF00574
 PF07724	PF00227
 PF13304	PF13304
 PF13304	PF13476
 PF13401	PF13401
 PF13401	PF04084
 PF13401	PF14629
 PF13401	PF14630
 PF13476	PF13476
 PF13476	PF05786
 PF13476	PF00149
 PF13476	PF04152
 PF13476	PF13558
 PF13476	PF12320
 PF13476	PF02463
 PF13481	PF13481
 PF13500	PF13500
 PF13500	PF00202
 PF07726	PF17863
 PF13604	PF13604
 PF13604	PF08716
 PF13604	PF14490
 PF13604	PF17946
 PF13604	PF18335
 PF13604	PF18343
 PF13604	PF07057
 PF13604	PF13538
 PF13614	PF13614
 PF13614	PF01656
 PF13614	PF00142
 PF13614	PF18607
 PF13614	PF03776
 PF13671	PF13671
 PF13671	PF08645
 PF07728	PF07728
 PF07728	PF12775
 PF07728	PF17865
 PF07728	PF17867
 PF07728	PF08406
 PF07728	PF10431
 PF07728	PF20436
 PF07728	PF10117
 PF07728	PF00158
 PF12774	PF12775
 PF12774	PF18198
 PF12774	PF08393
 PF12774	PF18199
 PF12774	PF03028
 PF12775	PF12780
 PF12775	PF17857
 PF12775	PF08393
 PF12775	PF17852
 PF12775	PF18199
 PF12780	PF12781
 PF12780	PF17857
 PF12780	PF08393
 PF12780	PF12777
 PF12780	PF00400
 PF12781	PF12781
 PF12781	PF08393
 PF12781	PF03028
 PF12781	PF12777
 PF12781	PF00400
 PF16193	PF16193
 PF16193	PF12002
 PF17872	PF09079
 PF17872	PF14629
 PF18198	PF18199
 PF18198	PF03028
 PF17863	PF01078
 PF17862	PF17862
 PF17862	PF00023
 PF17862	PF12796
 PF17862	PF13637
 PF17862	PF02933
 PF17862	PF02359
 PF17862	PF18794
 PF17862	PF18795
 PF17862	PF18265
 PF17862	PF01434
 PF17862	PF00227
 PF17862	PF10584
 PF17862	PF18051
 PF17862	PF17781
 PF17862	PF10602
 PF17862	PF09336
 PF17862	PF18097
 PF17864	PF05491
 PF17864	PF05496
 PF17868	PF12592
 PF17868	PF20030
 PF17871	PF17871
 PF17871	PF10431
 PF17871	PF02861
 PF17871	PF05389
 PF18280	PF18280
 PF18280	PF01909
 PF03306	PF03306
 PF05282	PF05282
 PF05282	PF12134
 PF05282	PF10597
 PF05282	PF10596
 PF08142	PF04950
 PF03417	PF03417
 PF00696	PF00696
 PF00696	PF01842
 PF00696	PF13840
 PF00696	PF04768
 PF00696	PF00543
 PF00696	PF01472
 PF00696	PF08271
 PF00324	PF00324
 PF00324	PF03522
 PF13520	PF13520
 PF13520	PF00128
 PF13520	PF16028
 PF13520	PF07686
 PF06684	PF06684
 PF01490	PF07686
 PF07336	PF11706
 PF14156	PF14156
 PF00950	PF00950
 PF00950	PF00005
 PF01061	PF01061
 PF01061	PF00005
 PF12679	PF12679
 PF12679	PF00005
 PF12698	PF12698
 PF12698	PF00005
 PF19055	PF19055
 PF19055	PF00005
 PF19055	PF07686
 PF09818	PF09818
 PF09818	PF20446
 PF00664	PF00664
 PF00664	PF00005
 PF00664	PF14396
 PF00664	PF05363
 PF00664	PF03412
 PF00664	PF07686
 PF06472	PF06472
 PF06472	PF00005
 PF04392	PF04392
 PF20220	PF18413
 PF20220	PF03538
 PF00005	PF00005
 PF00005	PF12848
 PF00005	PF12399
 PF00005	PF00528
 PF00005	PF02361
 PF00005	PF14396
 PF00005	PF01032
 PF00005	PF02687
 PF00005	PF03739
 PF00005	PF02405
 PF00005	PF08352
 PF00005	PF03412
 PF00005	PF00358
 PF00005	PF00687
 PF00005	PF00281
 PF00005	PF17777
 PF00005	PF13466
 PF00005	PF01458
 PF00005	PF03459
 PF00005	PF17755
 PF00005	PF17760
 PF00005	PF07686
 PF09822	PF09822
 PF03886	PF03886
 PF12848	PF12848
 PF05270	PF05270
 PF05270	PF09206
 PF05270	PF04616
 PF18225	PF18225
 PF03806	PF03806
 PF00561	PF00561
 PF00561	PF12697
 PF00561	PF13499
 PF00561	PF00598
 PF00561	PF13419
 PF00561	PF12146
 PF00561	PF18067
 PF00561	PF03280
 PF00561	PF00550
 PF02230	PF02230
 PF02230	PF18435
 PF07859	PF07859
 PF07859	PF12041
 PF08386	PF12146
 PF08386	PF00326
 PF12695	PF12695
 PF12697	PF12697
 PF12697	PF00668
 PF12697	PF00149
 PF12715	PF12715
 PF08843	PF08843
 PF09407	PF13338
 PF13338	PF13338
 PF07815	PF05994
 PF07815	PF09735
 PF16182	PF02209
 PF03992	PF03992
 PF18277	PF18277
 PF20520	PF00137
 PF20520	PF07850
 PF20520	PF01992
 PF16177	PF00501
 PF16177	PF13193
 PF00887	PF00887
 PF03255	PF03255
 PF03255	PF01039
 PF08326	PF08326
 PF08326	PF00289
 PF08326	PF00364
 PF08326	PF01039
 PF06315	PF06315
 PF06315	PF20423
 PF06315	PF00180
 PF20423	PF20423
 PF00871	PF00871
 PF09290	PF07836
 PF09290	PF00682
 PF09290	PF01118
 PF08882	PF02538
 PF02550	PF02550
 PF13336	PF02550
 PF13336	PF13336
 PF00583	PF00583
 PF00583	PF18014
 PF00583	PF18015
 PF00583	PF13302
 PF00583	PF13508
 PF00583	PF00022
 PF00583	PF00933
 PF00583	PF10394
 PF00583	PF04762
 PF00583	PF01423
 PF00583	PF04112
 PF00583	PF00249
 PF00583	PF12569
 PF00583	PF09797
 PF00583	PF04055
 PF00583	PF16199
 PF00583	PF13181
 PF00583	PF07686
 PF00583	PF00400
 PF13673	PF13673
 PF13673	PF13527
 PF13673	PF08681
 PF13673	PF18467
 PF13720	PF13720
 PF13880	PF13878
 PF03421	PF03421
 PF03421	PF03106
 PF05301	PF05301
 PF17668	PF17668
 PF17668	PF13527
 PF17668	PF13530
 PF00797	PF00797
 PF13302	PF13302
 PF13302	PF00027
 PF13302	PF18029
 PF13420	PF13420
 PF13508	PF13508
 PF13508	PF08681
 PF13523	PF13523
 PF13523	PF04183
 PF13527	PF13527
 PF13527	PF13530
 PF08674	PF08674
 PF08674	PF00135
 PF15270	PF00246
 PF03767	PF03767
 PF12689	PF12689
 PF04412	PF04412
 PF04412	PF01989
 PF00330	PF00330
 PF00330	PF06434
 PF00330	PF11791
 PF00330	PF00694
 PF06434	PF11791
 PF00694	PF00694
 PF01756	PF01756
 PF01756	PF00441
 PF01756	PF02770
 PF01756	PF14749
 PF06857	PF01039
 PF06857	PF16957
 PF06857	PF06833
 PF01648	PF01648
 PF01648	PF00550
 PF01648	PF01547
 PF08545	PF08545
 PF08545	PF08541
 PF08541	PF08541
 PF08541	PF01154
 PF08541	PF00109
 PF00873	PF10766
 PF00873	PF00873
 PF00873	PF00023
 PF00873	PF12796
 PF00873	PF13857
 PF00873	PF00529
 PF00873	PF16576
 PF00873	PF02699
 PF19436	PF19436
 PF19436	PF03598
 PF19436	PF18537
 PF01842	PF01842
 PF01842	PF13710
 PF01842	PF13840
 PF01842	PF10369
 PF01842	PF00351
 PF01842	PF18462
 PF01842	PF00551
 PF01842	PF00742
 PF01842	PF00800
 PF01842	PF19304
 PF01842	PF00205
 PF01842	PF02776
 PF09192	PF09192
 PF11821	PF14522
 PF11821	PF12838
 PF11821	PF03916
 PF00022	PF00022
 PF00022	PF03496
 PF00022	PF03915
 PF00022	PF05856
 PF00022	PF08603
 PF00022	PF00307
 PF00022	PF00241
 PF00022	PF13892
 PF00022	PF08385
 PF00022	PF05502
 PF00022	PF04912
 PF00022	PF13833
 PF00022	PF03372
 PF00022	PF01267
 PF00022	PF02181
 PF00022	PF01115
 PF00022	PF00626
 PF00022	PF07529
 PF00022	PF07679
 PF00022	PF00059
 PF00022	PF00149
 PF00022	PF00063
 PF00022	PF04699
 PF00022	PF04062
 PF00022	PF04045
 PF00022	PF00069
 PF00022	PF00235
 PF00022	PF09632
 PF00022	PF00620
 PF00022	PF02755
 PF00022	PF09510
 PF00022	PF00273
 PF00022	PF00176
 PF00022	PF01290
 PF00022	PF06068
 PF00022	PF03250
 PF00022	PF00261
 PF00022	PF00992
 PF00022	PF07686
 PF00022	PF01044
 PF00022	PF09164
 PF00022	PF00400
 PF00022	PF02205
 PF00022	PF08265
 PF11498	PF12796
 PF11498	PF09271
 PF11498	PF20144
 PF01064	PF01064
 PF01064	PF07654
 PF01064	PF08917
 PF01064	PF00019
 PF01064	PF07686
 PF16840	PF00412
 PF10000	PF10000
 PF10000	PF13840
 PF13291	PF13291
 PF13710	PF13710
 PF13710	PF10369
 PF13710	PF00205
 PF13710	PF02776
 PF13740	PF13740
 PF13840	PF13840
 PF13840	PF18700
 PF19571	PF19571
 PF01643	PF01643
 PF00441	PF00441
 PF00441	PF12806
 PF00441	PF02770
 PF00441	PF02771
 PF00441	PF14749
 PF00441	PF12418
 PF00441	PF18158
 PF00441	PF00766
 PF00441	PF00550
 PF08028	PF08028
 PF08028	PF02770
 PF08028	PF02771
 PF12806	PF12806
 PF12806	PF12418
 PF02770	PF02770
 PF02770	PF02771
 PF02770	PF14749
 PF02770	PF18158
 PF02770	PF00766
 PF02770	PF00550
 PF02771	PF02771
 PF02771	PF01012
 PF14749	PF14749
 PF12186	PF12186
 PF00708	PF00708
 PF00708	PF01300
 PF00708	PF07503
 PF01553	PF14829
 PF00698	PF00698
 PF00698	PF16197
 PF00698	PF01575
 PF00698	PF00550
 PF00698	PF16073
 PF02273	PF02273
 PF18883	PF18883
 PF17771	PF17771
 PF17771	PF01421
 PF17771	PF00090
 PF19236	PF05986
 PF19236	PF00090
 PF08516	PF08516
 PF08516	PF00200
 PF08516	PF00059
 PF08516	PF01421
 PF01602	PF01602
 PF01602	PF00025
 PF01602	PF01217
 PF01602	PF07718
 PF01602	PF14806
 PF01602	PF04053
 PF01602	PF08752
 PF01602	PF07933
 PF01602	PF00469
 PF00928	PF01602
 PF00928	PF00928
 PF00928	PF00025
 PF00928	PF01217
 PF00928	PF00610
 PF00928	PF07933
 PF00928	PF00469
 PF00928	PF06623
 PF06314	PF06314
 PF17981	PF17981
 PF17980	PF17980
 PF13382	PF13382
 PF13382	PF01979
 PF03352	PF03352
 PF04008	PF04008
 PF02703	PF02135
 PF01696	PF01696
 PF06931	PF06931
 PF04881	PF04881
 PF04881	PF07654
 PF04881	PF00129
 PF01065	PF01065
 PF01065	PF03678
 PF01065	PF02455
 PF01065	PF02993
 PF01065	PF07686
 PF03678	PF03678
 PF03678	PF02455
 PF03678	PF02993
 PF00541	PF00541
 PF00541	PF00608
 PF00541	PF12796
 PF00541	PF13857
 PF00541	PF00028
 PF00541	PF00084
 PF00541	PF07686
 PF01686	PF01065
 PF01686	PF03678
 PF01686	PF01686
 PF01686	PF02455
 PF03955	PF01065
 PF03955	PF03678
 PF03955	PF03955
 PF03910	PF01065
 PF03910	PF03678
 PF03910	PF02993
 PF01310	PF01065
 PF01310	PF03678
 PF01310	PF01310
 PF01310	PF02455
 PF00608	PF00608
 PF16579	PF16561
 PF16579	PF04739
 PF16579	PF00571
 PF16579	PF00069
 PF00709	PF00709
 PF16812	PF16812
 PF09085	PF07686
 PF04619	PF04619
 PF04619	PF07686
 PF16747	PF16747
 PF03257	PF05220
 PF03257	PF12378
 PF08240	PF08240
 PF08240	PF00107
 PF08240	PF13602
 PF08240	PF01262
 PF08240	PF16912
 PF16884	PF16884
 PF16884	PF00107
 PF16884	PF13602
 PF00106	PF00106
 PF00106	PF13561
 PF00106	PF18314
 PF00106	PF02801
 PF00106	PF01746
 PF13561	PF13561
 PF00107	PF00107
 PF00107	PF13602
 PF00107	PF14765
 PF13602	PF13602
 PF13602	PF08659
 PF13602	PF14765
 PF02274	PF02274
 PF00406	PF00406
 PF05221	PF05221
 PF05221	PF00670
 PF00670	PF00670
 PF02675	PF02675
 PF01941	PF01941
 PF03496	PF00022
 PF03496	PF03496
 PF03496	PF07737
 PF03496	PF03495
 PF03496	PF17475
 PF03496	PF00071
 PF04587	PF04587
 PF03747	PF03747
 PF03747	PF01129
 PF03747	PF00543
 PF10397	PF00206
 PF16701	PF16701
 PF16701	PF00211
 PF06355	PF06355
 PF01117	PF01117
 PF01117	PF03440
 PF05110	PF05110
 PF05110	PF00134
 PF05110	PF07303
 PF05110	PF00069
 PF05110	PF00539
 PF18876	PF18876
 PF14591	PF14591
 PF01954	PF01954
 PF18875	PF17793
 PF05775	PF05775
 PF05775	PF09460
 PF01314	PF01314
 PF01314	PF02730
 PF01314	PF12837
 PF02730	PF02730
 PF02730	PF12837
 PF02420	PF02420
 PF17992	PF17992
 PF17992	PF02449
 PF05641	PF05641
 PF05641	PF17904
 PF05641	PF18336
 PF07468	PF07468
 PF18021	PF18021
 PF18021	PF14200
 PF17998	PF17998
 PF17998	PF16364
 PF19712	PF19712
 PF19712	PF00781
 PF16338	PF16338
 PF16338	PF13802
 PF16338	PF01055
 PF09171	PF09171
 PF18351	PF02170
 PF11440	PF11440
 PF09229	PF09229
 PF09229	PF02518
 PF09229	PF00183
 PF00578	PF00578
 PF00578	PF00881
 PF00578	PF02195
 PF00578	PF00085
 PF00578	PF17991
 PF08327	PF08327
 PF08327	PF00183
 PF09236	PF00042
 PF01808	PF01808
 PF01808	PF02142
 PF16168	PF16168
 PF18158	PF18158
 PF14721	PF14721
 PF14721	PF07992
 PF04548	PF04548
 PF13772	PF13772
 PF13772	PF06094
 PF01987	PF01987
 PF16780	PF00152
 PF03915	PF03915
 PF00731	PF00731
 PF00731	PF01259
 PF00586	PF00586
 PF00586	PF02769
 PF00586	PF18072
 PF00586	PF13507
 PF00586	PF16904
 PF00586	PF02700
 PF02769	PF02769
 PF02769	PF18072
 PF02769	PF18076
 PF02769	PF13507
 PF02769	PF01455
 PF02769	PF17788
 PF02769	PF02700
 PF10470	PF10470
 PF10470	PF02197
 PF00490	PF00490
 PF01262	PF01262
 PF01262	PF05222
 PF01262	PF02233
 PF01262	PF17769
 PF05222	PF02233
 PF00842	PF00842
 PF00842	PF01168
 PF01168	PF01168
 PF01168	PF14031
 PF01918	PF01918
 PF01918	PF12328
 PF04326	PF04326
 PF04326	PF18685
 PF11606	PF11606
 PF00171	PF00171
 PF00171	PF00465
 PF00171	PF01575
 PF00171	PF01619
 PF00171	PF14850
 PF00171	PF18083
 PF01081	PF01081
 PF01081	PF00885
 PF00596	PF00596
 PF01263	PF01263
 PF01263	PF01370
 PF00248	PF00248
 PF00248	PF02214
 PF00248	PF04712
 PF11266	PF11266
 PF01315	PF01315
 PF01315	PF00941
 PF01315	PF00111
 PF01315	PF01799
 PF01315	PF02738
 PF01315	PF20256
 PF12165	PF12165
 PF03155	PF07686
 PF13372	PF13372
 PF05426	PF05426
 PF05426	PF07940
 PF08787	PF08787
 PF08787	PF00754
 PF16822	PF16822
 PF16822	PF16824
 PF16822	PF14286
 PF13949	PF13949
 PF13949	PF03097
 PF06029	PF06029
 PF06029	PF00730
 PF14864	PF14863
 PF14864	PF00753
 PF14863	PF14863
 PF14863	PF00753
 PF00245	PF00245
 PF00245	PF00226
 PF00245	PF01556
 PF00245	PF00254
 PF00245	PF02556
 PF00245	PF05698
 PF00245	PF05697
 PF03561	PF03561
 PF06351	PF06351
 PF04864	PF04864
 PF04864	PF04863
 PF04030	PF01565
 PF06401	PF00057
 PF06400	PF00057
 PF00128	PF00128
 PF00128	PF02806
 PF00128	PF02903
 PF00128	PF07821
 PF00128	PF09081
 PF00128	PF18612
 PF00128	PF00686
 PF00128	PF02922
 PF00128	PF10438
 PF00128	PF09087
 PF00128	PF09196
 PF00128	PF09244
 PF00128	PF11941
 PF00128	PF11896
 PF00128	PF00197
 PF00128	PF00139
 PF00128	PF16657
 PF00128	PF09178
 PF00128	PF06458
 PF00128	PF03714
 PF00128	PF17999
 PF00128	PF16028
 PF00128	PF18033
 PF00128	PF01833
 PF00128	PF00234
 PF00128	PF07686
 PF02806	PF02806
 PF02806	PF02922
 PF02806	PF01833
 PF02903	PF02903
 PF02903	PF16657
 PF09071	PF00128
 PF07821	PF00128
 PF09154	PF00128
 PF09261	PF09261
 PF09261	PF17677
 PF09261	PF18438
 PF09261	PF07748
 PF09261	PF01074
 PF09261	PF18230
 PF08829	PF17480
 PF02883	PF02883
 PF02883	PF02296
 PF02883	PF09066
 PF02883	PF00637
 PF01589	PF01589
 PF01589	PF00943
 PF01589	PF00944
 PF01589	PF07686
 PF00943	PF00943
 PF00943	PF01563
 PF00943	PF00944
 PF00943	PF07686
 PF01563	PF07654
 PF01563	PF07686
 PF18489	PF01588
 PF02816	PF02816
 PF01120	PF01120
 PF01120	PF00754
 PF01120	PF16757
 PF17989	PF17989
 PF10369	PF10369
 PF16541	PF16541
 PF02430	PF02430
 PF02430	PF07686
 PF17645	PF17645
 PF01425	PF01425
 PF01425	PF13318
 PF01425	PF02682
 PF01425	PF02934
 PF01425	PF02637
 PF01425	PF02686
 PF01425	PF00152
 PF01510	PF01510
 PF01510	PF01471
 PF01510	PF00940
 PF01510	PF14700
 PF01520	PF01520
 PF01520	PF04122
 PF01979	PF01979
 PF01979	PF00185
 PF01979	PF02729
 PF01979	PF00449
 PF01979	PF00699
 PF01979	PF00547
 PF04909	PF04909
 PF07969	PF07969
 PF07969	PF00384
 PF09663	PF09663
 PF11741	PF01520
 PF10706	PF10706
 PF00155	PF00155
 PF00155	PF00392
 PF00155	PF04061
 PF00155	PF11779
 PF00202	PF00202
 PF00202	PF02216
 PF00202	PF00550
 PF01063	PF01063
 PF00266	PF00266
 PF00266	PF05347
 PF00266	PF01491
 PF00266	PF01592
 PF00266	PF12804
 PF00266	PF00550
 PF00266	PF02657
 PF00266	PF01206
 PF01593	PF01593
 PF01593	PF00125
 PF01593	PF00249
 PF01593	PF13450
 PF01593	PF04433
 PF02293	PF02293
 PF01871	PF01871
 PF00909	PF00909
 PF00909	PF00543
 PF10423	PF10423
 PF10423	PF01048
 PF02461	PF02461
 PF02461	PF04896
 PF02461	PF04744
 PF04896	PF04896
 PF04896	PF04744
 PF00501	PF00501
 PF00501	PF13193
 PF00501	PF14535
 PF00501	PF00195
 PF00501	PF00668
 PF00501	PF00378
 PF00501	PF00551
 PF00501	PF03621
 PF00501	PF00550
 PF00501	PF11976
 PF00501	PF00975
 PF13193	PF00583
 PF13193	PF13193
 PF13193	PF00668
 PF13193	PF00551
 PF13193	PF00550
 PF14535	PF14535
 PF16561	PF16579
 PF16561	PF00128
 PF16561	PF02903
 PF16561	PF16561
 PF16561	PF04739
 PF16561	PF00571
 PF16561	PF00782
 PF16561	PF00069
 PF04739	PF16579
 PF04739	PF00571
 PF04739	PF00069
 PF05195	PF05195
 PF05195	PF00557
 PF09081	PF00128
 PF09094	PF09095
 PF09094	PF03065
 PF09095	PF09095
 PF09095	PF03065
 PF12859	PF12862
 PF12859	PF19521
 PF03256	PF08672
 PF03256	PF00515
 PF03256	PF13181
 PF15243	PF12862
 PF15243	PF13414
 PF15243	PF13424
 PF15243	PF13181
 PF17256	PF00515
 PF17256	PF13424
 PF17256	PF13432
 PF17256	PF13181
 PF08672	PF08672
 PF08672	PF08311
 PF08672	PF00240
 PF08672	PF00179
 PF08672	PF12861
 PF12895	PF12895
 PF12895	PF18391
 PF12895	PF00012
 PF12895	PF09790
 PF12895	PF18801
 PF12895	PF13414
 PF12895	PF13424
 PF12895	PF07719
 PF12895	PF13181
 PF12896	PF12896
 PF12896	PF12862
 PF12896	PF00888
 PF12894	PF12894
 PF12894	PF05700
 PF12894	PF00270
 PF12894	PF08662
 PF12894	PF08311
 PF12894	PF07575
 PF12894	PF16134
 PF12894	PF00400
 PF12894	PF16300
 PF12862	PF19521
 PF12862	PF13414
 PF04049	PF04049
 PF04049	PF05839
 PF04049	PF19521
 PF04049	PF13424
 PF10471	PF00515
 PF10471	PF13424
 PF10471	PF13176
 PF01821	PF01821
 PF01821	PF13855
 PF01821	PF07686
 PF06369	PF06369
 PF03139	PF00148
 PF01094	PF01094
 PF01094	PF00212
 PF01094	PF07654
 PF01094	PF00386
 PF01094	PF00060
 PF01094	PF10613
 PF01094	PF07562
 PF01094	PF07686
 PF08174	PF08174
 PF00023	PF00023
 PF00023	PF12796
 PF00023	PF13606
 PF00023	PF13637
 PF00023	PF13857
 PF00023	PF02216
 PF00023	PF00452
 PF00023	PF13354
 PF00023	PF07654
 PF00023	PF13621
 PF00023	PF09067
 PF00023	PF07679
 PF00023	PF00656
 PF00023	PF00069
 PF00023	PF00071
 PF00023	PF16179
 PF00023	PF01547
 PF00023	PF00856
 PF00023	PF07686
 PF12796	PF12796
 PF12796	PF13606
 PF12796	PF13637
 PF12796	PF13857
 PF12796	PF00025
 PF12796	PF01412
 PF12796	PF02216
 PF12796	PF00452
 PF12796	PF09270
 PF12796	PF07654
 PF12796	PF16516
 PF12796	PF15511
 PF12796	PF13380
 PF12796	PF01923
 PF12796	PF00270
 PF12796	PF00782
 PF12796	PF00036
 PF12796	PF17959
 PF12796	PF13499
 PF12796	PF09067
 PF12796	PF00178
 PF12796	PF01267
 PF12796	PF02259
 PF12796	PF02661
 PF12796	PF00041
 PF12796	PF01392
 PF12796	PF01115
 PF12796	PF17974
 PF12796	PF01353
 PF12796	PF14843
 PF12796	PF08518
 PF12796	PF04960
 PF12796	PF07679
 PF12796	PF03487
 PF12796	PF00727
 PF12796	PF07650
 PF12796	PF09271
 PF12796	PF00412
 PF12796	PF01803
 PF12796	PF00062
 PF12796	PF09596
 PF12796	PF00870
 PF12796	PF01734
 PF12796	PF00112
 PF12796	PF00656
 PF12796	PF02113
 PF12796	PF00069
 PF12796	PF00071
 PF12796	PF01030
 PF12796	PF16179
 PF12796	PF02198
 PF12796	PF01547
 PF12796	PF00018
 PF12796	PF14604
 PF12796	PF07525
 PF12796	PF20144
 PF12796	PF08344
 PF12796	PF00091
 PF13606	PF13637
 PF13606	PF13857
 PF13606	PF00091
 PF13637	PF13637
 PF13637	PF13857
 PF13637	PF13380
 PF13637	PF01392
 PF13637	PF01353
 PF13637	PF00274
 PF13637	PF00727
 PF13637	PF01803
 PF13637	PF00062
 PF13637	PF00656
 PF13637	PF00069
 PF13637	PF00071
 PF13637	PF00091
 PF13637	PF03953
 PF13637	PF07686
 PF13857	PF13857
 PF13857	PF00452
